id_caso,marca,modelo,anio,kilometraje,ultimo_mantenimiento,rpm,presion_aceite,temperatura_motor,nivel_combustible,voltaje_bateria,velocidad,descripcion_sintomas,falla_principal,subfalla,nivel_gravedad,posibles_soluciones
1,Toyota,Corolla,2015,86500,2024-02-10,3000,38,92,45,13.6,60,"Ruido metálico al acelerar y pérdida de potencia",Motor,Bujías desgastadas,Moderada,"Reemplazar bujías y verificar bobinas"
2,Nissan,Sentra,2018,54000,2024-01-22,,,,,12.6,0,"Pedal de freno se hunde y pérdida de presión",Frenos,Fuga en cilindro maestro,Crítica,"Reemplazar cilindro maestro y purgar sistema"
3,Hyundai,Elantra,2017,72000,2023-12-05,2200,40,95,30,,50,"Motor se apaga en ralentí y ralentí inestable",Motor,Sensor IAC (ralentí),Moderada,"Limpiar o reemplazar válvula IAC; revisar inyectores"
4,Kia,Rio,2019,46000,2024-03-01,,,,,12.5,20,"Vibración al frenar, chirrido en rueda derecha",Frenos,Pastillas desgastadas,Moderada,"Cambiar pastillas y verificar discos"
5,Chevrolet,Cruze,2016,99500,2023-11-11,2500,30,105,20,11.8,40,"Sobrecalentamiento en carretera y pérdida de refrigerante",Refrigeración,Radiador o termostato,Crítica,"Revisar/limpiar radiador; reemplazar termostato si aplica"
6,Toyota,Yaris,2020,38000,2024-03-15,,,,,12.7,0,"Freno con respuesta esponjosa tras frenadas largas",Frenos,Aire en circuito,Moderada,"Purgar sistema de frenos y revisar línea por fugas"
7,Honda,Civic,2014,120000,2023-10-02,2300,37,85,50,12.0,70,"Pérdida de potencia en subida, tirones",Motor,Filtro de aire obstruido,Leve,"Cambiar filtro de aire; revisar admisión"
8,Volkswagen,Gol,2013,130000,2022-09-17,,,,,11.6,45,"Golpeteo trasero al pasar baches",Suspensión,Amortiguadores dañados,Moderada,"Reemplazar amortiguadores y revisar bujes"
9,Nissan,Versa,2021,21000,2024-04-12,1100,43,87,70,,30,"Tironeos al acelerar y humo azul",Motor,Inyectores sucios,Moderada,"Limpiar inyectores; prueba de inyección"
10,Hyundai,Tucson,2019,59000,2024-02-18,2600,39,97,35,,65,"Olor a aceite quemado y leve humo",Motor,Fuga en tapa de válvulas,Moderada,"Reemplazar empaques y limpiar zona; verificar nivel aceite"
11,Kia,Sportage,2017,80000,2023-08-25,2000,55,102,25,,50,"Cambios bruscos en la caja y retraso al acelerar",Transmisión,Embrague desgastado,Moderada,"Reemplazar disco de embrague; revisar sincronización"
12,Chevrolet,Onix,2020,22000,2024-03-30,,,,,12.7,15,"Testigo de batería encendido y arranque débil",Eléctrico,Alternador defectuoso,Crítica,"Reemplazar alternador; probar carga de batería"
13,Honda,Fit,2015,91000,2023-12-28,,,,,12.2,20,"Ruido metálico al girar a la derecha",Suspensión,Rótula desgastada,Moderada,"Cambiar rótula y revisar brazo de suspensión"
14,Toyota,Avanza,2016,102000,2023-11-01,1900,32,94,30,,55,"Arranque difícil en frío y pérdida de chispa",Motor,Bujías deterioradas,Leve,"Reemplazar bujías y comprobar estado bobinas"
15,Nissan,Kicks,2021,30000,2024-04-05,,,,,12.8,20,"Frenos rechinan en uso normal",Frenos,Pastillas cristalizadas,Moderada,"Cambiar pastillas y verificar discos"
16,Hyundai,Accent,2018,64000,2024-01-11,2700,33,101,30,,60,"Motor tiembla al ralentí y vibración",Motor,Soporte de motor roto,Moderada,"Sustituir soporte de motor"
17,Kia,Picanto,2014,115000,2023-10-10,,,,,11.7,45,"Temperatura sube en tráfico lento",Refrigeración,Electroventilador no funciona,Crítica,"Revisar y reemplazar motor o relay del ventilador"
18,Honda,CR-V,2019,48000,2024-02-15,,,,,12.6,50,"Volante duro al maniobrar y ruido en dirección",Dirección,Bomba de dirección baja,Moderada,"Revisar nivel y bomba; reparar/recambiar bomba si es necesario"
19,Chevrolet,Spin,2017,70000,2023-12-02,1500,41,86,50,,30,"Demora en respuesta del acelerador y tirones",Motor,Sensor TPS defectuoso,Moderada,"Sustituir sensor TPS y recalibrar"
20,Toyota,Rav4,2016,92000,2023-11-20,,,,,12.3,70,"Freno rechina y freno humeante tras uso",Frenos,Discos recalentados,Crítica,"Rectificar o cambiar discos y revisar pastillas"
21,Nissan,Tiida,2012,140000,2023-05-10,2200,28,110,15,,40,"Humo blanco persistente al encender",Motor,Junta de culata dañada,Crítica,"Reemplazar junta; revisar culata y compresión"
22,Honda,City,2018,58000,2023-12-14,,,,,12.5,30,"Vibración en autopista a 100 km/h",Suspensión,Desbalance de ruedas,Leve,"Alinear y balancear ruedas"
23,Toyota,Etios,2014,110000,,1700,30,98,25,,35,"Pérdida de frenado ocasional y esponjamiento",Frenos,Bomba de freno débil,Crítica,"Reemplazar bomba y purgar sistema"
24,Kia,Carens,2016,87000,2023-09-19,2600,39,93,30,,50,"Check engine y pérdida de potencia",Motor,Bobina defectuosa,Crítica,"Cambiar bobina y verificar sistema de encendido"
25,Hyundai,Sonata,2015,99000,,1500,45,87,45,,20,"Golpeteo al pasar baches y ruido frontal",Suspensión,Bujes gastados,Moderada,"Reemplazar bujes y revisar anclajes"
26,Chevrolet,Tracker,2019,42000,2024-03-25,2300,43,90,75,,60,"Jalón al cambiar de marcha",Transmisión,Solenoide de cambios,Moderada,"Reemplazar solenoide; servicio de caja"
27,Nissan,March,2013,135000,2023-06-30,900,25,95,15,,30,"Ralenti inestable y apagones",Motor,Sensor MAP sucio,Leve,"Limpiar sensor MAP y revisar admisión"
28,Toyota,Prado,2017,78000,2023-12-17,,,,,12.5,70,"Alto consumo de combustible y pérdida de potencia",Motor,Filtro de combustible obstruido,Moderada,"Cambiar filtro y revisar bomba"
29,Honda,Pilot,2020,35000,2024-03-13,,,,,12.8,50,"Golpeteo en suspensión delantera al frenar",Suspensión,Topes desgastados,Leve,"Reemplazar topes y revisar amortiguadores"
30,Kia,Cerato,2019,56000,2024-02-27,,,,,12.6,40,"Demora en el arranque y clic al girar llave",Eléctrico,Relé de arranque defectuoso,Moderada,"Reemplazar relé o motor de arranque"
31,Hyundai,Creta,2021,25000,2024-04-05,,,,,12.7,60,"A/C deja de enfriar en tráfico lento",Refrigeración,Falta de gas refrigerante,Moderada,"Recargar gas y revisar fugas"
32,Chevrolet,Aveo,2012,150000,2023-08-01,2000,29,103,20,,30,"Motor cascabelea y tironea",Motor,Avance de encendido incorrecto,Moderada,"Ajustar avance y revisar sensores de detonación"
33,Nissan,Xtrail,2018,64000,2023-12-11,,,,,12.4,70,"Fuerte olor a combustible al arrancar",Combustible,Fuga en línea,Crítica,"Reparar o reemplazar línea y probar inyectores"
34,Toyota,Fortuner,2016,89000,2023-10-20,,,,,12.2,50,"Ruido lateral al girar",Dirección,Bieleta dañada,Moderada,"Reemplazar bieleta y verificar alineación"
35,Honda,Odyssey,2017,102000,2023-11-03,2200,52,101,25,,40,"Patinaje de transmisión y pérdida de tracción",Transmisión,Discos desgastados,Crítica,"Reparar transmisión; reemplazar discos/clutch"
36,Kia,Optima,2015,97000,2023-07-18,,,,,12.0,60,"Vibración al frenar a alta velocidad",Frenos,Discos torcidos,Moderada,"Rectificar o cambiar discos y verificar montaje"
37,Hyundai,i10,2014,112000,2023-09-04,1600,33,87,20,,30,"Auto se apaga en marcha y no responde",Motor,Sensor CKP defectuoso,Crítica,"Reemplazar sensor CKP; comprobar sincronización"
38,Chevrolet,Trailblazer,2019,52000,2024-01-30,2500,47,109,40,,70,"Temperatura sube con A/C encendido",Refrigeración,Radiador obstruido,Crítica,"Limpiar o reemplazar radiador; revisar termostato"
39,Nissan,Frontier,2018,84000,2023-12-09,2100,40,96,35,,65,"Ruido en transmisión a bajas velocidades",Transmisión,Rodamientos desgastados,Moderada,"Reemplazar rodamientos y verificar juego"
40,Toyota,Tundra,2020,45000,2024-03-28,,,,,12.7,50,"Dirección imprecisa y ruido al girar",Dirección,Cremallera desgastada,Moderada,"Reparar o reemplazar cremallera; alinear"
41,Honda,HR-V,2019,30000,2024-03-14,,,,,12.6,40,"Ruido trasero al acelerar con carga",Suspensión,Muelles debilitados,Moderada,"Reemplazar muelles y revisar amortiguadores"
42,Kia,Sorento,2018,77000,2023-11-25,2600,38,91,35,,55,"Tirones en aceleración y falta de respuesta",Motor,Bobina defectuosa,Moderada,"Cambiar bobina y revisar bujías"
43,Hyundai,Veloster,2016,82000,2023-10-18,,,,,12.1,60,"Testigo ABS encendido en tablero",Frenos,Sensor ABS dañado,Moderada,"Reemplazar sensor ABS y revisar cableado"
44,Chevrolet,Malibu,2017,88000,2023-09-29,2200,41,92,30,,70,"Vibración al acelerar fuerte",Transmisión,Tripoide desgastado,Moderada,"Reemplazar tripoide y verificar juntas"
45,Nissan,Altima,2015,112000,2023-06-12,2300,39,98,20,,50,"Ruido metálico del motor y pérdida de aceite",Motor,Cadena de distribución,Crítica,"Reemplazar cadena, tensores y revisar daños internos"
46,Toyota,Hilux,2021,31000,2024-02-09,,,,,12.8,60,"Freno de mano no sostiene en pendientes",Frenos,Campanas/zapatas gastadas,Leve,"Ajustar sistema y reemplazar zapatas si es necesario"
47,Honda,Accord,2018,60000,2024-01-22,,,,,12.7,50,"Fallo en dirección asistida, tirones al girar",Dirección,Sensor de presión,Moderada,"Cambiar sensor y revisar asistencias"
48,Kia,Stonic,2020,27000,2024-03-12,2100,,,40,,40,"Tirones leves al arrancar y olor a quemado",Transmisión,Embrague parcialmente gastado,Moderada,"Reemplazar kit de embrague"
49,Hyundai,Santa Fe,2017,90000,2023-12-07,2400,36,91,35,,60,"Golpeteo en motor en frío",Motor,Tensores de cadena desgastados,Crítica,"Reemplazar tensores y guías; revisar cadena"
50,Chevrolet,Cobalt,2014,125000,2023-08-05,1800,35,90,25,,40,"Pérdida de potencia aleatoria y check engine",Motor,Sensor MAF defectuoso,Moderada,"Reemplazar sensor MAF y limpiar admisión"
51,Toyota,Corolla,2019,45000,2024-04-15,1800,39,90,55,13.8,30,"Ralentí inestable y check engine",Motor,Fuga de vacío,Moderada,"Revisar mangueras de vacío y reemplazar empaques"
52,Nissan,Qashqai,2016,80000,2023-10-01,2500,37,95,30,,65,"Fallo de encendido intermitente y tirones",Motor,Bobina de encendido,Moderada,"Identificar y reemplazar bobina defectuosa"
53,Honda,Pilot,2015,110000,2023-11-20,,,,,12.0,50,"Freno suave al pisar, tarda en detenerse",Frenos,Pastillas y discos desgastados,Moderada,"Reemplazar pastillas y rectificar discos"
54,Kia,Rio,2018,65000,2024-01-05,2100,42,91,40,12.5,50,"Humo negro denso al acelerar",Motor,Sensor de oxígeno (O2),Moderada,"Reemplazar sensor O2 y revisar inyectores"
55,Chevrolet,Spark,2021,28000,2024-03-01,,,,,12.9,0,"Testigo de ABS parpadea sin razón",Frenos,Sensor de velocidad de rueda,Leve,"Limpiar o reemplazar sensor de rueda"
56,Toyota,Yaris,2017,78000,2023-12-10,1000,40,88,35,,20,"Ruido de golpeteo al arrancar en frío",Motor,Bomba de aceite,Crítica,"Reemplazar bomba de aceite y revisar cárter"
57,Nissan,Frontier,2019,55000,2024-02-14,,,,,12.8,70,"Vibración en volante a alta velocidad",Suspensión,Neumático deformado,Leve,"Reemplazar neumático y balancear"
58,Hyundai,Accent,2016,95000,2023-09-22,2300,35,103,20,,55,"Sobrecalentamiento en subidas, aguja en rojo",Refrigeración,Bomba de agua,Crítica,"Reemplazar bomba de agua y purgar sistema"
59,Kia,Sportage,2020,40000,2024-04-01,2500,40,92,45,,60,"Jalones al desacelerar y en cambio de marcha",Transmisión,Cuerpo de válvulas,Moderada,"Servicio de caja y revisión de solenoides"
60,Chevrolet,Captiva,2015,105000,2023-11-15,,,,,12.1,30,"Dirección asistida con ruido fuerte al girar",Dirección,Manguera de alta presión,Moderada,"Reemplazar manguera y purgar fluido"
61,Toyota,Avanza,2018,68000,2024-01-20,1500,45,90,50,,20,"Demora en el encendido y olor a gasolina",Combustible,Regulador de presión,Moderada,"Reemplazar regulador de presión de combustible"
62,Honda,CR-V,2017,75000,2023-12-03,2000,38,94,30,,50,"Freno de mano no activa correctamente",Frenos,Cable de freno de mano,Leve,"Ajustar o reemplazar cable del freno de mano"
63,Volkswagen,Vento,2016,92000,2023-10-18,2200,36,95,25,,60,"Pérdida de potencia gradual en carretera",Motor,Catalizador obstruido,Moderada,"Reemplazar catalizador o revisar sistema de escape"
64,Nissan,Versa,2014,125000,2023-09-10,,,,,11.5,0,"Testigo de batería encendido, luces débiles",Eléctrico,Batería agotada,Crítica,"Reemplazar batería y verificar alternador"
65,Hyundai,Tucson,2018,62000,2024-02-28,,,,,12.6,40,"Golpe seco al pasar baches, rebotes excesivos",Suspensión,Amortiguadores delanteros,Moderada,"Reemplazar amortiguadores y bases"
66,Kia,Cerato,2016,85000,2023-11-05,2500,41,96,30,,70,"Vibración al acelerar en 3ra marcha",Transmisión,Sincronizador,Moderada,"Reparar o reemplazar sincronizador en caja"
67,Chevrolet,Aveo,2014,115000,2023-10-12,1900,27,100,10,,30,"Tironeos y ahogos al acelerar a fondo",Combustible,Bomba de combustible débil,Crítica,"Reemplazar bomba de combustible y filtro"
68,Toyota,RAV4,2019,55000,2024-03-15,2200,40,92,50,,60,"Ruido de golpeo al soltar el acelerador",Motor,Taqués hidráulicos,Moderada,"Reemplazar taqués; servicio de aceite/filtro"
69,Honda,City,2019,45000,2024-01-25,,,,,12.7,20,"Volante se siente suelto e impreciso",Dirección,Terminales de dirección,Moderada,"Reemplazar terminales y alinear"
70,Nissan,Sentra,2016,88000,2023-12-07,,,,,12.3,45,"Freno trasero agarra antes o después",Frenos,Cilindro de rueda,Moderada,"Reemplazar cilindro de rueda y purgar frenos"
71,Hyundai,Sonata,2017,78000,2024-02-10,2400,39,93,45,,60,"Consumo excesivo de aceite y humo azul",Motor,Retenes de válvula,Crítica,"Reemplazar retenes y guías de válvula"
72,Kia,Picanto,2015,105000,2023-11-20,,,,,12.5,10,"Ruido al pasar baches a baja velocidad",Suspensión,Bujes de barra estabilizadora,Leve,"Reemplazar bujes de barra"
73,Chevrolet,Cruze,2018,60000,2024-03-05,2000,43,89,30,,50,"Check engine con código de falla de comunicación",Eléctrico,Fallo en módulo ECU,Crítica,"Revisar cableado y reprogramar/reemplazar ECU"
74,Toyota,Fortuner,2017,70000,2023-12-15,2100,45,95,55,,60,"El auto no arranca, solo hace 'clic'",Eléctrico,Motor de arranque,Moderada,"Reemplazar motor de arranque o solenoide"
75,Honda,Civic,2016,98000,2023-10-05,,,,,12.2,40,"Volante vibra al frenar desde 80km/h",Frenos,Discos delanteros torcidos,Moderada,"Rectificar discos o cambiarlos"
76,Nissan,March,2017,75000,2024-01-18,1500,35,90,20,,30,"Fuerte olor a gasolina al encender el A/C",Combustible,Fuga en inyector,Crítica,"Reemplazar inyector y revisar riel"
77,Hyundai,Elantra,2019,48000,2024-03-10,2300,40,91,40,12.8,60,"Tironeos al acelerar en pendientes",Motor,Bujías/Bobinas,Moderada,"Reemplazar bujías y verificar estado de bobinas"
78,Kia,Sorento,2017,89000,2023-11-12,,,,,12.5,50,"Ruido de roce al pasar cambios",Transmisión,Rodamiento piloto,Moderada,"Reemplazar rodamiento piloto/collarín"
79,Chevrolet,Onix,2019,45000,2024-04-05,,,,,12.7,20,"Temperatura alta en carretera y ruido",Refrigeración,Ventilador auxiliar,Crítica,"Reemplazar motor de ventilador auxiliar"
80,Toyota,Etios,2015,105000,2023-09-28,1800,37,95,30,,55,"Arranque lento y pérdida de potencia",Motor,Bomba de gasolina baja presión,Moderada,"Reemplazar bomba de gasolina y filtro"
81,Honda,Fit,2018,65000,2024-02-01,,,,,12.6,30,"Volante duro al estacionar",Dirección,Sensor de ángulo de dirección,Leve,"Calibrar o reemplazar sensor"
82,Nissan,Tiida,2013,130000,2023-07-25,2500,33,105,15,,40,"Humo azul en ralentí y consumo de aceite",Motor,Anillos de pistón desgastados,Crítica,"Reparación de motor/reemplazo de anillos"
83,Hyundai,Creta,2016,90000,2023-12-20,,,,,12.4,50,"Ruido al pisar el freno, como de aire",Frenos,Servofreno,Moderada,"Revisar manguera de vacío o reemplazar servofreno"
84,Kia,Carens,2018,68000,2024-01-15,2000,38,92,40,,60,"Check engine y bajo rendimiento",Motor,Válvula PCV obstruida,Leve,"Limpiar o reemplazar válvula PCV"
85,Chevrolet,Spin,2016,85000,2023-11-01,,,,,12.1,45,"Patinaje al acelerar desde parado",Transmisión,Banda de transmisión,Crítica,"Reemplazar banda o reparar CVT"
86,Toyota,Hilux,2018,60000,2024-03-20,2400,42,94,50,,70,"Tironeos y fallos de encendido al llover",Eléctrico,Cableado de bujías,Moderada,"Reemplazar cableado y verificar bobinas"
87,Honda,Pilot,2016,95000,2023-10-28,,,,,12.3,55,"Ruido metálico al pasar baches frontales",Suspensión,Bieletas de barra,Moderada,"Reemplazar bieletas estabilizadoras"
88,Nissan,Kicks,2019,40000,2024-04-10,1200,45,88,60,,30,"Ralentí muy alto al encender",Motor,Sensor de temperatura del motor,Leve,"Reemplazar sensor ECT y revisar cableado"
89,Hyundai,Accent,2019,55000,2024-02-15,,,,,12.6,40,"Testigo de baja presión de aceite al ralentí",Motor,Sensor de presión de aceite,Crítica,"Reemplazar sensor y verificar bomba"
90,Kia,Optima,2017,70000,2023-12-01,2300,38,90,35,,60,"Vibración constante en el pedal del freno",Frenos,Rotor trasero,Moderada,"Rectificar o cambiar rotor trasero"
91,Chevrolet,Tracker,2020,38000,2024-03-18,2500,40,93,70,12.7,65,"Alto consumo de gasolina y olor a huevo podrido",Motor,Catalizador dañado,Crítica,"Reemplazar catalizador; diagnosticar origen"
92,Toyota,Prado,2015,115000,2023-11-10,,,,,12.2,50,"El auto se apaga inesperadamente en curva",Motor,Filtro de combustible obstruido,Moderada,"Cambiar filtro de combustible y revisar sedimento"
93,Honda,Accord,2016,80000,2024-01-05,2100,41,92,45,,50,"Tirones al acelerar y luz de 'D' parpadea",Transmisión,Aceite bajo o sucio,Moderada,"Servicio de transmisión y filtro"
94,Nissan,X-Trail,2017,72000,2023-12-12,,,,,12.5,40,"Ruido en la dirección al maniobrar en caliente",Dirección,Bomba de dirección hidráulica,Moderada,"Reemplazar o reparar bomba"
95,Hyundai,i10,2018,60000,2024-02-20,,,,,12.6,20,"Ruido al pasar baches, como si algo estuviera suelto",Suspensión,Cazoleta de amortiguador,Leve,"Reemplazar cazoletas"
96,Kia,Stonic,2021,22000,2024-04-05,2000,39,89,60,12.8,55,"Pérdida de potencia y humo gris",Motor,Baja compresión,Crítica,"Prueba de compresión y revisión de válvulas"
97,Chevrolet,Malibu,2015,105000,2023-09-15,2200,35,95,25,12.0,60,"Vibración fuerte al acelerar a 80 km/h",Transmisión,Junta homocinética,Moderada,"Reemplazar junta homocinética"
98,Toyota,Tundra,2017,85000,2023-12-05,,,,,12.4,70,"Dirección con juego excesivo",Dirección,Caja de dirección,Crítica,"Reemplazar o reparar caja de dirección"
99,Honda,HR-V,2017,70000,2024-01-10,2400,40,91,40,12.6,60,"Freno con chirrido en rueda delantera izquierda",Frenos,Pistón de caliper,Moderada,"Servicio de caliper y cambio de pastillas"
100,Nissan,Versa,2018,65000,2024-03-01,1000,36,87,30,,20,"Motor vibra al ralentí y luces parpadean",Motor,Bujía(s) fallando,Leve,"Reemplazar bujías"
101,Toyota,Corolla,2014,115000,2023-11-15,2300,37,93,40,12.2,60,"Luz de 'Check Engine' encendida y alto consumo",Motor,Sensor MAF defectuoso,Moderada,"Limpiar o reemplazar Sensor MAF"
102,Nissan,Sentra,2019,45000,2024-04-01,,,,,12.8,0,"Pedal de freno muy duro, apenas frena",Frenos,Servofreno (Booster),Crítica,"Reemplazar servofreno"
103,Hyundai,Elantra,2016,88000,2023-10-25,1800,41,95,35,,40,"El motor se apaga al meter reversa",Transmisión,Sensor de posición de la caja,Moderada,"Reemplazar sensor de posición neutra/reversa"
104,Kia,Rio,2020,35000,2024-03-20,,,,,12.7,20,"Chirrido constante en la rueda trasera",Frenos,Resorte de zapata roto,Leve,"Reemplazar resorte o kit de zapatas"
105,Chevrolet,Cruze,2017,82000,2023-12-10,2500,30,108,20,11.9,50,"Temperatura sube rápidamente al acelerar",Refrigeración,Termostato pegado cerrado,Crítica,"Reemplazar termostato y purgar aire"
106,Toyota,Yaris,2019,48000,2024-02-12,,,,,12.6,0,"El auto no prende, el motor no gira",Eléctrico,Solenoide de arranque,Moderada,"Reemplazar solenoide o motor de arranque"
107,Honda,Civic,2015,105000,2023-10-01,2300,38,91,50,12.4,70,"Vibración en el volante a 120 km/h",Suspensión,Alineación incorrecta,Leve,"Alinear tren delantero y balancear"
108,Volkswagen,Gol,2014,120000,2023-09-05,1000,36,89,30,,20,"Ralentí inestable y se siente como si se fuera a apagar",Motor,Sensor de posición del cigüeñal (CKP),Crítica,"Reemplazar sensor CKP"
109,Nissan,Versa,2020,32000,2024-04-15,2200,43,90,75,,60,"Jalones al cambiar de marcha a velocidad",Transmisión,Poco aceite de caja,Moderada,"Rellenar y verificar fugas en transmisión"
110,Hyundai,Tucson,2017,70000,2023-12-25,2500,40,94,40,12.5,50,"Olor a anticongelante dentro del vehículo",Refrigeración,Calefactor de cabina,Moderada,"Reemplazar radiador de calefacción"
111,Kia,Sportage,2016,92000,2023-08-01,,,,,12.0,30,"Chirrido en la parte trasera al pasar baches",Suspensión,Amortiguadores traseros,Moderada,"Reemplazar amortiguadores traseros"
112,Chevrolet,Onix,2021,20000,2024-03-25,,,,,12.9,15,"Falla en luces bajas, se queman seguido",Eléctrico,Regulador de voltaje,Moderada,"Reemplazar regulador de voltaje o alternador"
113,Honda,Fit,2016,85000,2023-12-15,,,,,12.3,40,"El auto tira hacia un lado al acelerar",Dirección,Rotula de dirección suelta,Crítica,"Ajustar o reemplazar rótula y alinear"
114,Toyota,Avanza,2017,95000,2023-11-05,1800,35,93,25,,50,"Ralentí inestable y olor a combustible crudo",Motor,Inyector atascado abierto,Crítica,"Reemplazar inyector y limpiar sistema"
115,Nissan,Kicks,2020,40000,2024-04-08,,,,,12.7,20,"El freno vibra y hace ruido como si raspara",Frenos,Líquido de freno bajo,Moderada,"Rellenar líquido de freno y purgar"
116,Hyundai,Accent,2017,70000,2024-01-01,2600,34,102,30,,60,"Testigo de aceite encendido a alta RPM",Motor,Bomba de aceite,Crítica,"Reemplazar bomba de aceite"
117,Kia,Picanto,2016,100000,2023-10-15,,,,,12.1,30,"El auto se recalienta al estar parado",Refrigeración,Bomba de agua con fuga,Crítica,"Reemplazar bomba de agua"
118,Honda,CR-V,2018,55000,2024-02-20,,,,,12.6,50,"Volante duro en un solo lado",Dirección,Fuga en manguera de presión,Moderada,"Reemplazar manguera y rellenar líquido"
119,Chevrolet,Spin,2018,65000,2023-12-05,2000,42,88,50,,30,"Demora en la aceleración y olor a quemado en el motor",Motor,Filtro de aire sucio,Leve,"Reemplazar filtro de aire"
120,Toyota,Rav4,2017,80000,2023-11-25,,,,,12.5,70,"Freno débil y pedal esponjoso",Frenos,Cilindro maestro con fuga interna,Crítica,"Reemplazar cilindro maestro"
121,Nissan,Tiida,2015,110000,2023-05-15,2400,30,115,10,,40,"Humo blanco denso constante",Motor,Junta de culata,Crítica,"Reemplazar junta de culata y verificar culata"
